name_of_site,url,org_code
سازمان نهضت سوادآموزی,http://eservices.lmo.gov.ir/,سازمان نهضت سوادآموزی
خدمات قضایی من,https://my.adliran.ir/RealPerson/Index,قوه قضاییه
شهرداری تهران,https://my.tehran.ir/singlewindow,شهرداری تهران
آموزش و پرورش استثنایی کشور,https://sirat2.medu.ir/panel,وزارت آموزش و پرورش
وزارت آموزش و پرورش,https://my.medu.ir/api/Login/callback,وزارت آموزش و پرورش
سازمان ملی استاندارد ایران,https://my.inso.gov.ir/callback_actual,سازمان ملی استاندارد ایران
سازمان ملی استاندارد ایران حقوقی,https://my.inso.gov.ir/callback_legal,سازمان ملی استاندارد ایران
بانک مرکزی حقوقی,https://my.cbi.ir/ssoredirect/legal,بانک مرکزی جمهوری اسلامی ایران
بانک مرکزی حقیقی,https://my.cbi.ir/Ssoredirect/person,بانک مرکزی جمهوری اسلامی ایران
پژوهشگاه فضایی ایران حقوقی,https://es.isrc.ac.ir/ssolegalredirect,پژوهشگاه فضایی ایران
پژوهشگاه فضایی ایران حقیقی,https://es.isrc.ac.ir/ssouserredirect,پژوهشگاه فضایی ایران
شهرداری تنکابن,https://sso.tonekabon.ir/execute/login/ssogov,شهرداری تنکابن
صندوق بازنشستگی کشوری,https://eservices.cspf.ir/Auth-api/auth/govsso,صندوق بازنشستگی کشوری
سازمان بازرسی کل کشور,https://136.bazresi.ir/dargah/gov,سازمان بازرسی کل کشور
سازمان امور مالیاتی حقوقی,https://my.tax.gov.ir/myiran/legalsso,سازمان امور مالیاتی کشور
سازمان امور مالیاتی حقیقی,https://my.tax.gov.ir/myiran/sso,سازمان امور مالیاتی کشور
درگاه ملی مجوزها حقوقی,https://mojavez.ir/api/1.0/g4bv2/nlp/auth/legal-sso-redirect-url,وزارت امور اقتصادی و دارایی (درگاه مجوزها)
درگاه ملی مجوزها حقیقی,https://mojavez.ir/api/1.0/g4bv2/nlp/auth/sso-redirect-url,وزارت امور اقتصادی و دارایی (درگاه مجوزها)
سامد ریاست جمهوری,https://portal.111.ir/portal/login-by-my-gov,ریاست جمهوری (سامد)
سازمان ثبت اسناد و املاک کشور,https://my.ssaa.ir/usr/itologin,سازمان ثبت اسناد و املاک کشور
جمعیت هلال احمر ایران,https://helaleman.rcs.ir/admin/receive_person,جمعیت هلال احمر جمهوری اسلامی ایران
بانک توسعه صادرات ایران,https://ebank.edbi.ir/doris/sso,بانک توسعه صادرات ایران
روزنامه رسمی جمهوری اسلامی ایران,https://www.rrk.ir/ords/rpsapi/gov/sso/redirecturl,روزنامه رسمی جمهوری اسلامی ایران
روزنامه رسمی جمهوری اسلامی ایران حقوقی,https://www.rrk.ir/ords/rpsapi/gov/sso/legalredirecturl,روزنامه رسمی جمهوری اسلامی ایران
سازمان اوقاف و امور خیریه,https://dina.oghaf.ir/sso/myiran/login,سازمان اوقاف و امور خیریه
سازمان بهداشت و درمان صنعت نفت,https://www.piho.ir/fa/ssoredirecturlnatural,سازمان بهداشت و درمان صنعت نفت
سازمان بیمه سلامت ایران,https://survey.ihio.gov.ir/govath,سازمان بیمه سلامت ایران
سازمان تامین اجتماعی,https://account.tamin.ir/auth/login-client,سازمان تامین اجتماعی
سازمان تبلیغات اسلامی,https://eservices.nehzat.ir,سازمان تبلیغات اسلامی
سازمان تنظیم مقررات و ارتباطات رادیویی حقوقی,https://sso.cra.ir/myco,سازمان تنظیم مقررات و ارتباطات رادیویی
سازمان تنظیم مقررات و ارتباطات رادیویی حقیقی,https://sso.cra.ir/my,سازمان تنظیم مقررات و ارتباطات رادیویی
سازمان ثبت احوال کشور,https://sahim.sabteahval.ir/govCallback,سازمان ثبت احوال کشور
سازمان زمین شناسی و اکتشافات معدنی کشور حقوقی,https://gsi.ir/ssolegal,سازمان زمین‌شناسی و اکتشافات معدنی کشور
